Date,Open,High,Low,Close,Adj Close,Volume
2023-06-05,5.960000038146973,5.960000038146973,5.920000076293945,5.960000038146973,5.391773223876953,122900
2023-06-12,5.960000038146973,6.170000076293945,5.929999828338623,6.099999904632568,5.564955234527588,808800
2023-06-19,6.070000171661377,6.070000171661377,5.860000133514404,5.889999866485596,5.373375415802002,409400
2023-06-26,5.869999885559082,6.03000020980835,5.829999923706055,6.019999980926514,5.491972923278809,525300
2023-07-03,6.019999980926514,6.070000171661377,5.829999923706055,5.989999771118164,5.464602947235107,531500
2023-07-10,5.989999771118164,6.28000020980835,5.980000019073486,6.170000076293945,5.628815650939941,1044700
2023-07-17,6.159999847412109,6.260000228881836,6.110000133514404,6.130000114440918,5.63786506652832,687400
2023-07-24,6.159999847412109,6.21999979019165,6.110000133514404,6.210000038146973,5.711441516876221,540900
2023-07-31,6.210000038146973,6.230000019073486,6.010000228881836,6.039999961853027,5.555089473724365,613500
2023-08-07,6.099999904632568,6.139999866485596,5.980000019073486,6.050000190734863,5.564287185668945,728000
2023-08-14,6.050000190734863,6.070000171661377,5.800000190734863,5.840000152587891,5.415535926818848,787000
2023-08-21,5.849999904632568,5.989999771118164,5.789999961853027,5.889999866485596,5.461902141571045,558800
2023-08-28,5.860000133514404,6.03000020980835,5.829999923706055,6.010000228881836,5.573180675506592,763500
2023-09-04,5.96999979019165,6.019999980926514,5.849999904632568,5.869999885559082,5.443355560302734,314000
2023-09-11,5.869999885559082,5.900000095367432,5.78000020980835,5.829999923706055,5.406262397766113,739700
2023-09-18,5.840000152587891,5.840000152587891,5.690000057220459,5.710000038146973,5.340473651885986,629100
2023-09-25,5.699999809265137,5.710000038146973,5.519999980926514,5.539999961853027,5.181475639343262,581300
2023-10-02,5.519999980926514,5.559999942779541,5.349999904632568,5.46999979019165,5.1160054206848145,937800
2023-10-09,5.460000038146973,5.590000152587891,5.440000057220459,5.460000038146973,5.106653690338135,596700
2023-10-16,5.449999809265137,5.5,5.289999961853027,5.289999961853027,4.992469787597656,613700
2023-10-23,5.260000228881836,5.360000133514404,5.070000171661377,5.090000152587891,4.803718566894531,834400
2023-10-30,5.130000114440918,5.519999980926514,5.119999885559082,5.5,5.190659046173096,605800
2023-11-06,5.510000228881836,5.53000020980835,5.400000095367432,5.460000038146973,5.152909278869629,538900
2023-11-13,5.400000095367432,5.639999866485596,5.400000095367432,5.590000152587891,5.275596618652344,659600
2023-11-20,5.590000152587891,5.71999979019165,5.579999923706055,5.650000095367432,5.381504058837891,701300
2023-11-27,5.650000095367432,5.690000057220459,5.599999904632568,5.670000076293945,5.4005537033081055,1057500
2023-12-04,5.619999885559082,5.650000095367432,5.579999923706055,5.619999885559082,5.35292911529541,751000
2023-12-11,5.579999923706055,5.769999980926514,5.510000228881836,5.760000228881836,5.486276626586914,1452700
2023-12-18,5.789999961853027,5.849999904632568,5.730000019073486,5.820000171661377,5.593186855316162,1133000
2023-12-25,5.820000171661377,5.909999847412109,5.760000228881836,5.769999980926514,5.545135498046875,798900
2024-01-01,5.71999979019165,5.75,5.650000095367432,5.71999979019165,5.5440673828125,716600
2024-01-08,5.699999809265137,5.849999904632568,5.699999809265137,5.829999923706055,5.650684356689453,655000
2024-01-15,5.800000190734863,5.820000171661377,5.699999809265137,5.789999961853027,5.61191463470459,592400
2024-01-22,5.809999942779541,5.909999847412109,5.809999942779541,5.900000095367432,5.718531608581543,814200
2024-01-29,5.909999847412109,6.070000171661377,5.909999847412109,5.989999771118164,5.805762767791748,1202500
2024-02-05,6.010000228881836,6.170000076293945,5.96999979019165,6.119999885559082,5.931764125823975,842300
2024-02-12,6.130000114440918,6.179999828338623,5.96999979019165,6.119999885559082,5.980464935302734,1251500
2024-02-19,6.110000133514404,6.21999979019165,6.059999942779541,6.199999809265137,6.058640956878662,964600
2024-02-26,6.210000038146973,6.25,6.059999942779541,6.239999771118164,6.097728729248047,1004200
2024-03-04,6.230000019073486,6.420000076293945,6.190000057220459,6.360000133514404,6.214993476867676,1149400
2024-03-11,6.340000152587891,6.460000038146973,6.289999961853027,6.340000152587891,6.195449352264404,1106100
2024-03-18,6.349999904632568,6.539999961853027,6.320000171661377,6.510000228881836,6.411507606506348,814000
2024-03-25,6.5,6.550000190734863,6.460000038146973,6.510000228881836,6.411507606506348,758600
2024-04-01,6.5,6.579999923706055,6.5,6.53000020980835,6.4312052726745605,1774700
2024-04-08,6.539999961853027,6.639999866485596,6.489999771118164,6.539999961853027,6.44105339050293,1613800
2024-04-15,6.559999942779541,6.559999942779541,6.130000114440918,6.139999866485596,6.0937652587890625,1281200
2024-04-22,6.179999828338623,6.400000095367432,6.159999847412109,6.340000152587891,6.292259216308594,569800
2024-04-29,6.380000114440918,6.699999809265137,6.360000133514404,6.690000057220459,6.639623641967773,776500
2024-05-06,6.630000114440918,6.699999809265137,6.570000171661377,6.639999866485596,6.590000152587891,609100
2024-05-13,6.590000152587891,6.699999809265137,6.539999961853027,6.650000095367432,6.5999250411987305,590200
2024-05-20,6.659999847412109,6.789999961853027,6.630000114440918,6.670000076293945,6.670000076293945,950001
